Index,Country,Region,CC,Mammals,Birds,Reptiles,Amphibians,Fish,Molluscs,Other_Inverts,RL_Total,T_EX,T_EW,T_CR,T_EN,T_VU,T_NT,T_DD,T_LC,T_SP,M_ED,M_TH_ED,M_EX,M_EW,M_CR,M_EN,M_VU,M_NT,M_LC,M_DD,M_SP,A_ED,A_TH_ED,A_EX,A_EW,A_CR,A_EN,A_VU,A_NT,A_LC,A_DD,A_SP
132,Gambia,Sub-Saharan Africa,GMB,9,12,5,0,34,0,2,62,0,0,8,13,41,43,120,1449,1674,0,0,0,0,0,3,6,4,111,9,133,0,0,0,0,0,0,0,0,23,0,23
133,Ghana,Sub-Saharan Africa,GHA,20,20,7,11,56,0,5,119,0,0,12,29,78,81,144,2047,2391,1,0,0,0,0,5,12,13,204,23,257,4,1,0,0,1,5,4,9,54,3,76
134,Guinea,Sub-Saharan Africa,GIN,25,19,8,5,75,1,6,139,0,0,15,33,91,96,176,1943,2354,2,2,0,0,1,7,14,15,169,17,223,5,1,0,0,1,3,1,13,46,10,74
135,Guinea-Bissau,Sub-Saharan Africa,GNB,14,10,7,0,39,0,2,72,0,0,7,15,50,48,120,1444,1684,0,0,0,0,0,3,8,5,97,10,123,0,0,0,0,0,0,0,0,15,0,15
136,Kenya,Sub-Saharan Africa,KEN,30,39,11,11,71,17,67,246,2,0,39,55,152,186,242,2711,3387,13,7,0,0,4,9,14,19,294,36,376,16,5,0,0,2,4,1,1,82,8,98
137,Lesotho,Sub-Saharan Africa,LSO,3,7,0,0,1,0,3,14,0,0,0,5,9,13,2,368,397,0,0,0,0,0,1,1,2,57,0,61,1,0,0,0,0,0,0,0,18,1,19
138,Liberia,Sub-Saharan Africa,LBR,22,13,7,4,63,1,10,120,0,0,17,33,70,86,137,1671,2014,0,0,0,0,0,6,14,14,129,17,180,2,1,0,0,1,2,1,12,34,6,56
139,Madagascar,Sub-Saharan Africa,MDG,120,35,139,140,93,24,86,637,11,0,88,244,305,223,325,1634,2830,185,57,4,0,6,29,27,11,86,65,228,241,64,0,0,7,27,30,19,108,51,242
140,Malawi,Sub-Saharan Africa,MWI,10,18,4,6,98,7,9,152,0,0,7,31,114,36,48,1372,1608,2,0,0,0,1,1,4,8,166,9,189,3,3,0,0,0,4,1,1,70,4,80
141,Mali,Sub-Saharan Africa,MLI,12,16,4,0,2,0,0,34,0,1,6,6,22,22,9,934,1000,1,0,0,1,1,3,7,6,115,3,136,2,0,0,0,0,0,0,0,22,2,24
142,Mauritania,Sub-Saharan Africa,MRT,17,15,6,0,43,0,3,84,0,1,11,19,54,49,133,1347,1614,1,0,0,1,3,2,9,5,77,16,113,0,0,0,0,0,0,0,0,4,0,4
143,Mauritius,Sub-Saharan Africa,MUS,7,9,10,0,19,28,90,163,44,0,16,34,113,121,111,935,1374,1,1,1,0,1,2,3,0,2,2,11,0,0,0,0,0,0,0,0,0,0,?
144,Mayotte,Sub-Saharan Africa,MYT,1,3,7,0,7,0,69,87,5,0,1,11,75,105,61,764,1022,0,0,0,0,0,0,1,0,4,4,9,0,0,0,0,0,0,0,0,0,0,?
145,Mozambique,Sub-Saharan Africa,MOZ,14,29,13,5,67,3,64,195,0,0,11,43,141,172,202,2436,3005,2,1,0,0,1,4,6,9,197,19,236,0,0,0,0,0,2,1,0,64,0,67
146,Namibia,Sub-Saharan Africa,NAM,14,28,5,1,33,0,4,85,1,0,10,24,51,48,112,1632,1878,1,0,0,0,1,4,6,7,169,15,202,4,0,0,0,0,0,1,0,44,3,48
147,Niger,Sub-Saharan Africa,NER,12,11,2,0,4,1,0,30,0,1,7,5,18,22,5,712,770,0,0,0,1,2,2,7,6,106,3,127,0,0,0,0,0,0,0,0,8,0,8
148,Nigeria,Sub-Saharan Africa,NGA,29,21,12,13,71,1,16,163,0,1,18,40,105,75,153,2362,2754,6,3,0,1,4,7,16,13,221,23,285,1,1,0,0,0,5,8,6,84,0,103
149,Reunion,Sub-Saharan Africa,REU,5,6,0,0,13,16,71,111,17,0,6,19,86,101,84,814,1127,0,0,1,0,0,4,1,0,3,5,14,0,0,0,0,0,0,0,0,0,0,?
150,Rwanda,Sub-Saharan Africa,RWA,24,16,0,2,9,0,2,53,1,0,11,13,29,32,17,904,1007,1,1,0,0,2,5,12,9,154,2,184,1,0,0,0,0,1,7,1,26,3,38
151,"Saint Helena, Ascension and Tristan da Cunha",Sub-Saharan Africa,SHN,4,19,2,0,14,1,14,54,28,0,12,19,23,11,62,478,633,5,3,0,0,0,4,1,1,9,8,23,0,0,0,0,0,0,0,0,0,0,?
152,Sao Tome and Pr’ncipe,Sub-Saharan Africa,STP,5,13,5,3,25,1,4,56,0,0,7,14,35,14,101,696,867,0,0,0,0,0,0,0,0,0,0,?,7,3,0,0,0,2,1,0,4,0,7
153,Senegal,Sub-Saharan Africa,SEN,17,16,8,0,55,10,3,109,0,1,13,26,70,61,165,1752,2088,0,0,0,1,1,4,10,7,150,16,189,0,0,0,0,0,0,0,0,31,1,32
154,Seychelles,Sub-Saharan Africa,SYC,6,11,11,6,21,36,283,374,20,0,80,152,142,123,94,1031,1642,2,2,0,0,1,1,3,0,6,2,13,11,6,0,0,0,1,5,0,5,0,11
155,Sierra Leone,Sub-Saharan Africa,SLE,22,15,8,3,56,3,5,112,0,0,10,31,71,81,152,1733,2078,0,0,0,0,0,6,10,13,146,15,190,2,1,0,0,0,1,1,11,36,6,55
156,Somalia,Sub-Saharan Africa,SOM,14,18,5,0,29,2,60,128,0,0,9,19,100,149,164,1726,2167,8,0,0,0,2,3,9,7,132,23,176,3,0,0,0,0,0,0,1,29,0,30
157,South Africa,Sub-Saharan Africa,ZAF,26,46,21,19,107,22,180,421,5,0,63,122,236,172,296,2540,3434,31,11,1,0,3,9,11,11,232,30,297,50,20,0,0,4,8,9,4,83,8,116
158,South Sudan,Sub-Saharan Africa,SSD,10,19,3,0,0,0,0,32,0,0,5,9,18,21,22,1157,1232,0,0,0,0,0,0,0,0,0,0,?,0,0,0,0,0,0,0,0,0,0,?
159,Sudan,Sub-Saharan Africa,SDN,13,23,5,0,24,0,50,115,0,1,11,13,91,135,112,1749,2112,10,0,0,1,1,4,9,8,234,24,281,1,0,0,0,0,0,0,0,22,1,23
160,Swaziland,Sub-Saharan Africa,SWZ,8,13,0,0,4,0,0,25,0,0,4,7,14,17,7,748,797,0,0,0,0,1,0,3,5,107,0,116,0,0,0,0,0,0,0,0,44,1,45
161,"Tanzania,United Republic of ",Sub-Saharan Africa,TZA,38,47,34,61,176,15,114,485,1,1,110,127,248,202,324,3206,4219,23,18,0,0,5,15,14,20,281,24,359,78,48,0,0,7,23,20,1,107,20,178
162,Togo,Sub-Saharan Africa,TGO,12,11,5,2,35,0,3,68,0,0,10,16,42,46,111,1679,1904,1,0,0,0,0,4,6,6,148,11,175,2,0,0,0,1,2,0,1,16,2,22
163,Uganda,Sub-Saharan Africa,UGA,29,25,3,2,57,9,10,135,1,0,41,29,65,64,129,1744,2073,3,1,0,0,0,9,12,20,261,17,319,3,0,0,0,0,1,5,1,52,6,65
164,Zambia,Sub-Saharan Africa,ZMB,12,18,2,0,20,13,1,66,0,0,9,20,37,42,74,1724,1906,6,2,0,0,1,2,5,10,203,13,234,2,0,0,0,0,0,1,0,80,3,84
165,Zimbabwe,Sub-Saharan Africa,ZWE,9,17,4,7,3,0,5,45,0,0,7,12,26,31,23,1261,1360,1,0,0,0,1,1,6,7,182,3,200,5,4,0,0,1,4,1,0,57,0,63
166,N/A,Antarctic,N/A,10,33,4,0,7,0,0,54,1,0,3,23,28,28,96,701,880,2,0,0,0,0,6,1,0,28,27,62,0,0,0,0,0,0,0,0,0,0,0
167,Antarctica,Antarctic,ATA,2,4,0,0,0,0,0,6,0,0,0,2,4,8,28,80,122,2,0,0,0,0,0,1,0,8,4,13,0,0,0,0,0,0,0,0,0,0,?
168,Bouvet Island,Antarctic,BVT,1,1,0,0,1,0,0,3,0,0,0,1,2,0,5,37,45,0,0,0,0,0,0,0,0,3,2,5,0,0,0,0,0,0,0,0,0,0,?
169,French Southern Territories,Antarctic,ATF,3,12,4,0,5,0,0,24,1,0,3,10,11,8,39,405,477,0,0,0,0,0,3,0,0,7,8,18,0,0,0,0,0,0,0,0,0,0,?
170,Heard Island and McDonald Islands,Antarctic,HMD,1,10,0,0,1,0,0,12,0,0,0,5,7,4,9,54,79,0,0,0,0,0,0,0,0,4,6,10,0,0,0,0,0,0,0,0,0,0,?
171,South Georgia and the South Sandwich Islands,Antarctic,SGS,3,6,0,0,0,0,0,9,0,0,0,5,4,8,15,125,157,0,0,0,0,0,3,0,0,6,7,16,0,0,0,0,0,0,0,0,0,0,?
172,N/A,North Asia,N/A,51,93,12,0,73,19,54,302,7,1,42,66,194,244,297,3091,3942,23,3,2,0,8,21,23,48,431,19,552,0,0,0,0,0,0,0,3,69,0,72
173,Belarus,North Asia,BLR,4,9,0,0,2,3,6,24,0,0,2,2,20,39,8,445,516,0,0,0,0,1,1,2,7,60,0,71,0,0,0,0,0,0,0,0,13,0,13
174,Moldova,North Asia,MDA,5,12,2,0,8,2,3,32,1,0,6,3,23,34,6,402,475,0,0,0,0,1,1,2,8,56,1,69,0,0,0,0,0,0,0,1,11,0,12
175,Russian Federation,North Asia,RUS,32,54,9,0,39,8,28,170,3,1,24,45,101,110,211,1466,1961,21,1,2,0,3,16,14,23,225,17,300,0,0,0,0,0,0,0,1,27,0,28
176,Ukraine,North Asia,UKR,10,18,1,0,24,6,17,76,3,0,10,16,50,61,72,778,990,2,2,0,0,3,3,5,10,90,1,112,0,0,0,0,0,0,0,1,18,0,19
177,N/A,West & Central Asia,N/A,272,425,157,24,621,103,493,2095,14,4,225,489,1381,1699,1475,19372,24659,31,4,5,0,10,87,164,173,1680,134,2253,20,12,1,0,6,7,7,7,150,3,181
178,Afghanistan,West & Central Asia,AFG,11,17,1,1,5,0,2,37,0,0,4,9,24,26,16,543,622,0,0,0,0,0,5,6,6,101,3,121,1,1,0,0,1,0,0,0,5,0,6
179,Armenia,West & Central Asia,ARM,9,15,7,0,3,2,7,43,0,0,5,9,29,37,16,448,544,2,2,0,0,1,3,5,10,67,4,90,0,0,0,0,0,0,0,0,8,0,8
180,Azerbaijan,West & Central Asia,AZE,8,18,9,1,12,2,5,55,0,1,13,8,34,42,37,544,679,0,0,0,0,0,2,5,13,79,4,103,0,0,0,0,0,0,0,0,10,0,10
181,Bahrain,West & Central Asia,BHR,3,6,4,0,10,0,13,36,0,0,2,5,29,53,24,448,561,0,0,0,0,0,0,3,1,7,1,12,0,0,0,0,0,0,0,0,1,0,1
182,Cyprus,West & Central Asia,CYP,6,7,5,0,24,1,11,54,0,0,4,21,29,33,60,617,764,1,0,0,0,1,1,3,1,25,0,31,0,0,0,0,0,0,0,0,3,0,3
183,Georgia,West & Central Asia,GEO,9,15,7,1,11,4,11,58,0,0,7,10,41,46,21,560,685,0,0,0,0,1,4,5,12,79,1,102,0,0,0,0,0,0,1,0,11,0,12
184,"Iran,Islamic Republic of",West & Central Asia,IRN,19,26,14,4,43,2,22,130,0,1,16,25,89,103,131,1252,1617,6,0,0,0,0,5,11,14,134,22,186,6,3,0,0,2,1,1,2,13,1,20
185,Iraq,West & Central Asia,IRQ,14,19,3,1,17,1,16,71,1,0,6,14,51,70,34,723,899,1,1,1,0,0,5,8,5,59,1,79,0,0,0,0,0,0,1,1,3,0,5
186,Israel,West & Central Asia,ISR,15,17,10,2,45,11,63,163,4,0,13,39,111,142,119,1241,1669,1,0,0,0,1,4,10,7,81,5,108,1,0,1,0,1,0,0,1,5,0,8
187,Jordan,West & Central Asia,JOR,13,13,6,0,15,6,55,108,0,0,5,20,83,124,67,913,1212,0,0,0,0,0,3,10,7,58,3,81,0,0,0,0,0,0,0,0,5,0,5
188,Kazakhstan,West & Central Asia,KAZ,16,26,1,1,14,2,5,65,0,1,13,14,38,37,45,667,815,5,0,0,0,3,6,7,10,123,6,155,0,0,0,0,0,1,0,0,10,0,11
189,Kuwait,West & Central Asia,KWT,6,11,4,0,15,0,13,49,1,0,1,9,39,56,28,547,681,0,0,1,0,0,2,4,5,18,4,34,0,0,0,0,0,0,0,0,0,0,?
190,Kyrgyzstan,West & Central Asia,KGZ,5,16,2,0,3,0,4,30,0,0,1,7,22,23,8,411,472,1,0,0,0,0,4,2,5,58,2,71,0,0,0,0,0,0,0,0,4,0,4
191,Lebanon,West & Central Asia,LBN,10,12,8,0,28,9,8,75,0,0,5,27,43,41,60,690,866,0,0,0,0,1,3,6,5,51,1,67,0,0,0,0,0,0,0,1,6,0,7
192,Oman,West & Central Asia,OMN,10,13,8,0,31,2,29,93,0,0,3,21,69,93,111,1082,1379,1,0,0,0,0,3,6,4,50,13,76,0,0,0,0,0,0,0,0,2,0,2
193,Pakistan,West & Central Asia,PAK,25,32,12,0,41,0,18,128,0,0,9,30,89,101,70,1290,1589,3,1,0,0,0,9,14,11,141,16,191,1,0,0,0,0,0,0,0,18,0,18
194,"Palestinian Territory, Occupied ",West & Central Asia,PSE,3,13,4,1,2,2,2,27,0,0,4,10,13,23,16,343,409,0,0,0,0,0,1,2,2,21,2,28,0,0,0,0,0,0,0,0,0,0,?
195,Qatar,West & Central Asia,QAT,2,8,3,0,13,0,13,39,0,0,3,4,32,56,19,472,586,0,0,0,0,0,0,2,2,9,3,16,0,0,0,0,0,0,0,0,0,0,?
196,Saudi Arabia,West & Central Asia,SAU,10,18,3,0,35,1,58,125,1,0,5,18,102,149,110,1139,1524,1,0,1,0,0,2,7,6,61,7,84,0,0,0,0,0,0,0,0,7,0,7
197,Syrian Arab Republic,West & Central Asia,SYR,16,18,9,0,51,9,11,114,1,0,15,36,63,51,71,814,1051,1,0,0,0,1,4,11,6,69,3,94,0,0,0,0,0,0,0,1,6,0,7
198,Tajikistan,West & Central Asia,TJK,7,15,2,0,5,0,3,32,0,0,2,7,23,19,17,405,473,0,0,0,0,0,5,3,7,52,1,68,1,0,0,0,0,0,0,0,2,1,3
199,Turkey,West & Central Asia,TUR,18,20,20,11,131,45,35,280,4,0,64,99,117,101,152,1226,1763,6,0,0,0,1,5,11,11,114,7,149,9,7,0,0,2,5,3,1,17,1,29
200,Turkmenistan,West & Central Asia,TKM,10,20,2,0,11,1,6,50,0,1,10,7,33,26,30,523,630,0,0,0,0,0,3,5,6,71,3,88,0,0,0,0,0,0,0,0,4,0,4
201,United Arab Emirates,West & Central Asia,ARE,8,12,4,0,17,0,15,56,0,0,3,14,39,62,48,724,890,0,0,0,0,0,2,5,4,27,8,46,0,0,0,0,0,0,0,0,2,0,2
202,Uzbekistan,West & Central Asia,UZB,10,20,2,0,7,1,2,42,0,0,8,7,27,26,17,440,525,0,0,0,0,0,4,6,7,64,2,83,0,0,0,0,0,0,0,0,3,0,3
203,Yemen,West & Central Asia,YEM,9,18,7,1,32,2,66,135,2,0,4,19,112,159,148,1310,1754,2,0,2,0,0,2,7,6,61,12,90,1,1,0,0,0,0,1,0,5,0,6
204,N/A,East Asia,N/A,147,260,77,127,342,50,345,1348,19,1,140,346,862,832,1934,10012,14146,146,33,3,1,18,59,63,58,764,112,1078,282,112,1,0,10,58,57,38,228,72,461
205,China,East Asia,CHN,74,89,43,88,133,15,61,503,4,1,80,142,281,233,930,3225,4896,87,17,0,1,11,29,34,32,392,52,551,217,85,1,0,8,34,50,32,142,69,333
206,Hong Kong,East Asia,HKG,3,20,5,5,13,1,7,54,0,0,7,16,31,32,78,635,799,0,0,0,0,0,0,0,0,0,0,?,0,0,0,0,0,0,0,0,0,0,?
207,Japan,East Asia,JPN,28,42,14,20,77,33,138,352,13,0,29,93,230,242,445,2167,3219,43,16,1,0,4,17,6,6,88,22,144,45,18,0,0,2,15,3,2,33,1,56
208,"Korea,Democratic People's Republic of",East Asia,PRK,10,27,2,1,17,0,3,60,1,0,5,15,40,35,75,616,787,0,0,1,0,0,3,6,4,60,9,83,0,0,0,0,0,0,1,1,13,2,15
209,"Korea,Republic of",East Asia,KOR,11,30,3,3,25,0,5,77,1,0,5,21,51,41,107,794,1020,0,0,1,0,0,2,7,2,51,9,72,4,1,0,0,0,1,1,1,12,0,17
210,Macao,East Asia,MAC,0,4,1,0,5,0,1,11,0,0,1,2,8,4,7,143,165,0,0,0,0,0,0,0,0,0,0,?,0,0,0,0,0,0,0,0,0,0,?
211,Mongolia,East Asia,MNG,11,24,0,0,2,0,3,40,0,0,4,12,24,28,8,504,580,1,0,0,0,3,5,3,6,117,2,136,0,0,0,0,0,0,0,0,6,0,6
212,"Taiwan,Province of China",East Asia,TWN,10,24,9,10,70,1,127,251,0,0,9,45,197,217,284,1928,2680,15,0,0,0,0,3,7,8,56,18,92,16,8,0,0,0,8,2,2,22,0,34
213,N/A,South & Southeast Asia,N/A,808,702,370,318,1065,117,1786,5166,28,1,542,1209,3415,3763,5184,33155,47297,498,202,2,0,70,302,431,252,2210,456,3723,678,227,22,0,29,106,148,176,842,384,1707
214,Bangladesh,South & Southeast Asia,BGD,36,33,23,1,27,0,7,127,0,1,15,38,74,82,84,1307,1601,0,0,0,0,3,13,17,9,88,9,139,1,0,0,0,0,0,1,0,30,1,32
215,Bhutan,South & Southeast Asia,BTN,26,20,3,1,3,0,1,54,0,0,7,13,34,41,6,686,787,0,0,0,0,1,12,15,12,56,3,99,1,0,0,0,0,0,1,0,5,1,7
216,British Indian Ocean Territory,South & Southeast Asia,IOT,0,0,2,0,12,0,69,83,0,0,1,8,74,106,51,672,912,0,0,0,0,0,0,0,0,3,3,6,0,0,0,0,0,0,0,0,0,0,?
217,Brunei Darussalam,South & Southeast Asia,BRN,33,24,8,3,12,0,8,88,0,0,6,17,65,137,75,918,1218,0,0,0,0,2,7,26,11,75,17,138,0,0,0,0,0,0,3,17,34,1,55
218,Cambodia,South & Southeast Asia,KHM,38,27,20,5,47,1,78,216,0,0,23,47,146,173,179,1625,2193,1,0,0,0,3,16,18,8,108,11,164,5,0,0,0,0,0,3,2,38,5,48
219,Disputed Territory,South & Southeast Asia,DT,0,0,0,0,3,0,1,4,0,0,0,1,3,1,18,382,405,0,0,0,0,0,0,0,0,0,0,?,0,0,0,0,0,0,0,0,0,0,?
220,India,South & Southeast Asia,IND,92,84,54,75,222,7,128,662,0,0,75,202,385,337,764,3363,5126,47,31,0,0,10,39,47,26,258,32,412,167,62,1,0,13,31,21,9,90,87,252
221,Indonesia,South & Southeast Asia,IDN,188,131,33,32,158,6,284,832,2,0,77,190,565,563,931,4181,6509,260,115,1,0,21,65,97,44,316,126,670,175,22,0,0,3,9,21,42,161,127,363
222,Lao People's Democratic Republic,South & Southeast Asia,LAO,45,24,18,9,55,16,5,172,1,0,28,51,93,93,216,1430,1912,7,3,0,0,6,19,21,9,145,15,215,8,0,0,0,0,0,5,6,55,13,79
223,Malaysia,South & Southeast Asia,MYS,73,50,31,48,83,35,227,547,1,0,58,104,385,401,375,2729,4053,28,6,0,0,3,21,46,29,187,50,336,63,34,0,0,1,12,34,45,88,32,212
224,Maldives,South & Southeast Asia,MDV,2,0,3,0,24,0,46,75,0,0,2,11,62,91,77,866,1109,0,0,0,0,0,1,1,0,12,10,24,0,0,0,0,0,0,0,0,0,0,?
225,Myanmar,South & Southeast Asia,MMR,48,48,30,2,50,3,74,255,0,0,23,68,164,270,406,2507,3438,5,0,0,0,2,18,25,16,206,27,294,15,0,0,0,0,0,0,4,54,21,79
226,Nepal,South & Southeast Asia,NPL,30,36,9,3,7,1,2,88,0,0,13,24,51,71,63,1248,1470,2,1,0,0,1,15,16,14,128,8,182,10,2,0,0,0,0,3,3,35,5,46
227,Philippines,South & Southeast Asia,PHL,39,89,39,48,87,3,234,539,0,0,47,101,391,325,488,2354,3706,113,27,0,0,4,13,22,19,104,45,207,79,48,0,0,1,15,32,12,26,14,100
228,Singapore,South & Southeast Asia,SGP,13,17,6,0,27,0,173,236,1,0,11,25,200,230,131,1284,1882,1,0,0,0,0,2,10,8,38,10,68,1,0,0,0,0,0,0,4,22,1,27
229,Sri Lanka,South & Southeast Asia,LKA,29,16,12,56,54,0,130,297,20,0,61,96,140,175,143,1424,2059,17,15,0,0,0,16,14,7,66,14,117,89,52,21,0,11,36,6,5,24,2,105
230,Thailand,South & Southeast Asia,THA,56,51,28,4,106,15,196,456,2,0,37,94,325,376,525,3033,4392,5,1,1,0,3,24,30,26,197,30,311,21,2,0,0,0,0,4,11,102,25,142
231,Timor-Leste,South & Southeast Asia,TLS,5,6,2,0,8,0,1,22,0,0,3,9,10,31,40,578,671,1,0,0,0,0,1,3,2,31,17,54,0,0,0,0,0,0,0,0,5,1,6
232,Viet Nam,South & Southeast Asia,VNM,55,46,49,31,80,30,122,413,1,0,55,110,248,260,612,2568,3854,11,3,0,0,11,20,23,12,192,29,287,43,5,0,0,0,3,14,16,73,48,154
233,N/A,Oceania,N/A,186,390,216,64,586,429,2047,3918,180,13,320,632,2966,3100,3084,27703,37998,358,101,23,0,28,83,76,49,620,326,1205,404,62,3,0,17,20,29,10,308,128,515
234,American Samoa,Oceania,ASM,1,8,6,0,12,5,59,91,1,0,2,14,75,86,69,814,1061,0,0,0,0,0,1,0,1,10,8,20,0,0,0,0,0,0,0,0,0,0,?
235,Australia,Oceania,AUS,63,50,43,47,118,174,340,835,40,0,97,172,566,406,532,3362,5175,247,50,21,0,11,20,26,32,203,36,349,209,48,3,0,15,18,15,9,152,11,223
236,Christmas Island,Oceania,CXR,3,3,4,0,10,0,18,38,2,0,4,4,30,29,37,616,722,1,1,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,?
237,Cocos (Keeling) Islands,Oceania,CCK,2,0,1,0,9,0,20,32,0,0,0,5,27,27,40,547,646,0,0,0,0,0,1,1,0,9,8,19,0,0,0,0,0,0,0,0,0,0,?
238,Cook Islands,Oceania,COK,1,15,3,0,12,0,32,63,15,0,0,9,54,52,60,694,884,0,0,0,0,0,1,0,0,10,9,20,0,0,0,0,0,0,0,0,0,0,?
239,Fiji,Oceania,FJI,6,12,15,1,18,68,97,217,1,0,26,41,150,157,123,1159,1657,1,1,0,0,1,3,2,1,10,10,27,2,1,0,0,0,1,0,1,0,0,2
240,French Polynesia,Oceania,PYF,0,32,3,0,28,34,31,128,72,11,35,23,70,65,105,817,1198,0,0,0,0,0,1,0,0,9,9,19,0,0,0,0,0,0,0,0,0,0,?
241,Guam,Oceania,GUM,2,14,5,0,13,6,54,94,3,2,7,19,68,90,112,787,1088,1,0,1,0,0,2,0,0,9,10,22,0,0,0,0,0,0,0,0,0,0,?
242,Kiribati,Oceania,KIR,1,5,2,0,13,1,80,102,1,0,0,11,91,121,70,839,1133,0,0,0,0,0,0,1,0,9,10,20,0,0,0,0,0,0,0,0,0,0,?
243,Marshall Islands,Oceania,MHL,2,3,4,0,16,1,72,98,0,0,0,9,89,123,72,872,1165,0,0,0,0,0,1,1,0,9,10,21,0,0,0,0,0,0,0,0,0,0,?
244,"Micronesia, Federated States of",Oceania,FSM,5,11,7,0,25,4,111,163,2,0,6,20,137,149,135,1061,1510,4,3,0,0,0,2,4,0,7,11,24,0,0,0,0,0,0,0,0,0,0,?
245,Nauru,Oceania,NRU,1,2,0,0,11,0,68,82,0,0,0,4,78,113,49,701,945,0,0,0,0,0,0,1,0,7,9,17,0,0,0,0,0,0,0,0,0,0,?
246,New Caledonia,Oceania,NCL,9,16,54,0,35,28,97,239,5,0,36,47,156,160,168,1396,1968,1,0,0,0,0,0,4,0,20,12,36,0,0,0,0,0,0,0,0,0,0,?
247,New Zealand,Oceania,NZL,9,67,15,3,34,32,14,174,22,0,28,46,100,62,148,717,1123,6,6,0,0,1,4,4,0,12,12,33,4,4,0,0,1,1,2,0,0,0,4
248,Niue,Oceania,NIU,1,8,4,0,9,0,30,52,0,0,0,8,44,53,46,615,766,4,4,0,0,0,4,4,0,14,22,44,0,0,0,0,0,0,0,0,0,0,?
249,Norfolk Island,Oceania,NFK,0,10,2,0,6,12,11,41,8,0,2,5,34,29,24,403,505,0,0,0,0,0,1,1,0,9,9,20,0,0,0,0,0,0,0,0,0,0,?
250,Northern Mariana Islands,Oceania,MNP,4,16,4,0,15,4,53,96,0,0,7,18,71,90,78,831,1095,0,0,0,0,0,5,0,0,9,11,25,0,0,0,0,0,0,0,0,0,0,?
251,Palau,Oceania,PLW,4,5,3,0,19,40,106,177,1,0,27,26,124,154,110,1167,1609,2,0,1,0,0,2,2,1,9,10,25,1,0,0,0,0,0,0,0,1,0,1
252,Papua New Guinea,Oceania,PNG,39,37,11,11,56,2,179,335,1,0,19,48,268,261,460,2601,3658,73,24,0,0,11,18,12,12,170,46,269,187,9,0,0,1,0,10,0,141,114,266
253,Pitcairn,Oceania,PCN,1,10,0,0,10,5,11,37,0,0,0,7,30,26,33,359,455,0,0,0,0,0,2,0,0,9,9,20,0,0,0,0,0,0,0,0,0,0,?
254,Samoa,Oceania,WSM,2,6,5,0,16,1,61,91,0,0,3,14,74,88,89,888,1156,0,0,0,0,0,1,1,1,10,9,22,0,0,0,0,0,0,0,0,0,0,?
255,Solomon Islands,Oceania,SLB,20,25,6,2,22,2,149,226,2,0,9,27,190,198,151,1433,2010,16,10,0,0,3,8,6,1,32,19,69,1,0,0,0,0,0,2,0,14,3,19
256,Tokelau,Oceania,TKL,0,1,3,0,10,0,35,49,0,0,0,5,44,59,42,611,761,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,?
257,Tonga,Oceania,TON,2,5,5,0,14,4,43,73,2,0,3,12,58,71,68,906,1120,0,0,0,0,0,1,1,0,10,10,22,0,0,0,0,0,0,0,0,0,0,?
258,Tuvalu,Oceania,TUV,1,1,3,0,12,1,77,95,0,0,0,8,87,118,56,751,1020,0,0,0,0,0,1,1,0,1,3,6,0,0,0,0,0,0,0,0,0,0,?
259,United States Minor Outlying Islands,Oceania,UMI,0,10,2,0,13,0,47,72,1,0,4,6,62,76,52,847,1048,0,0,0,0,0,0,0,0,3,4,7,0,0,0,0,0,0,0,0,0,0,?
260,Vanuatu,Oceania,VUT,7,9,4,0,17,4,88,129,1,0,2,16,111,139,101,1141,1511,2,2,0,0,0,4,4,0,9,7,24,0,0,0,0,0,0,0,0,0,0,?
261,Wallis and Futuna,Oceania,WLF,0,9,2,0,13,1,64,89,0,0,3,8,78,98,54,768,1009,0,0,0,0,0,0,0,0,10,9,19,0,0,0,0,0,0,0,0,0,0,?
